Project Name,File Path,Mocking Framework,Imported Mock Line
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\rpc\TTimeoutTransportTest.java,easymock,static org.easymock.EasyMock.createMock
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\rpc\TTimeoutTransportTest.java,easymock,static org.easymock.EasyMock.createMockBuilder
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\rpc\TTimeoutTransportTest.java,easymock,static org.easymock.EasyMock.expect
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\rpc\TTimeoutTransportTest.java,easymock,static org.easymock.EasyMock.expectLastCall
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\rpc\TTimeoutTransportTest.java,easymock,static org.easymock.EasyMock.replay
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\rpc\TTimeoutTransportTest.java,easymock,static org.easymock.EasyMock.verify
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\spi\balancer\HostRegexTableLoadBalancerReconfigurationTest.java,easymock,static org.easymock.EasyMock.anyObject
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\spi\balancer\HostRegexTableLoadBalancerReconfigurationTest.java,easymock,static org.easymock.EasyMock.createMock
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\spi\balancer\HostRegexTableLoadBalancerReconfigurationTest.java,easymock,static org.easymock.EasyMock.expect
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\spi\balancer\HostRegexTableLoadBalancerReconfigurationTest.java,easymock,static org.easymock.EasyMock.replay
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\spi\balancer\HostRegexTableLoadBalancerTest.java,easymock,static org.easymock.EasyMock.anyObject
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\spi\balancer\HostRegexTableLoadBalancerTest.java,easymock,static org.easymock.EasyMock.createMock
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\spi\balancer\HostRegexTableLoadBalancerTest.java,easymock,static org.easymock.EasyMock.expect
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\spi\balancer\HostRegexTableLoadBalancerTest.java,easymock,static org.easymock.EasyMock.replay
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\spi\balancer\TableLoadBalancerTest.java,easymock,static org.easymock.EasyMock.anyObject
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\spi\balancer\TableLoadBalancerTest.java,easymock,static org.easymock.EasyMock.createMock
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\spi\balancer\TableLoadBalancerTest.java,easymock,static org.easymock.EasyMock.expect
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\spi\balancer\TableLoadBalancerTest.java,easymock,static org.easymock.EasyMock.replay
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\spi\compaction\DefaultCompactionPlannerTest.java,easymock,org.easymock.EasyMock
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\spi\fs\PerTableVolumeChooserTest.java,easymock,static org.easymock.EasyMock.anyObject
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\spi\fs\PerTableVolumeChooserTest.java,easymock,static org.easymock.EasyMock.createStrictMock
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\spi\fs\PerTableVolumeChooserTest.java,easymock,static org.easymock.EasyMock.expect
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\spi\fs\PerTableVolumeChooserTest.java,easymock,static org.easymock.EasyMock.replay
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\spi\fs\PerTableVolumeChooserTest.java,easymock,static org.easymock.EasyMock.verify
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\spi\fs\PreferredVolumeChooserTest.java,easymock,static org.easymock.EasyMock.anyObject
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\spi\fs\PreferredVolumeChooserTest.java,easymock,static org.easymock.EasyMock.createStrictMock
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\spi\fs\PreferredVolumeChooserTest.java,easymock,static org.easymock.EasyMock.expect
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\spi\fs\PreferredVolumeChooserTest.java,easymock,static org.easymock.EasyMock.replay
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\spi\fs\PreferredVolumeChooserTest.java,easymock,static org.easymock.EasyMock.verify
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\spi\fs\SpaceAwareVolumeChooserTest.java,easymock,org.easymock.EasyMock
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\util\MonitorUtilTest.java,easymock,static org.easymock.EasyMock.expect
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\util\MonitorUtilTest.java,easymock,static org.easymock.EasyMock.mock
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\util\MonitorUtilTest.java,easymock,static org.easymock.EasyMock.replay
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\util\MonitorUtilTest.java,easymock,static org.easymock.EasyMock.verify
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\volume\VolumeImplTest.java,easymock,static org.easymock.EasyMock.createMock
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\volume\VolumeImplTest.java,easymock,static org.easymock.EasyMock.expect
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\volume\VolumeImplTest.java,easymock,static org.easymock.EasyMock.replay
accumulo,accumulo\core\src\test\java\org\apache\accumulo\core\volume\VolumeImplTest.java,easymock,static org.easymock.EasyMock.verify
accumulo,accumulo\core\src\test\java\org\apache\accumulo\fate\ReadOnlyStoreTest.java,easymock,org.easymock.EasyMock
accumulo,accumulo\core\src\test\java\org\apache\accumulo\fate\util\RetryTest.java,easymock,org.easymock.EasyMock
accumulo,accumulo\core\src\test\java\org\apache\accumulo\fate\zookeeper\ZooCacheFactoryTest.java,easymock,static org.easymock.EasyMock.createMock
accumulo,accumulo\core\src\test\java\org\apache\accumulo\fate\zookeeper\ZooCacheTest.java,easymock,static org.easymock.EasyMock.anyObject
accumulo,accumulo\core\src\test\java\org\apache\accumulo\fate\zookeeper\ZooCacheTest.java,easymock,static org.easymock.EasyMock.capture
accumulo,accumulo\core\src\test\java\org\apache\accumulo\fate\zookeeper\ZooCacheTest.java,easymock,static org.easymock.EasyMock.createMock
accumulo,accumulo\core\src\test\java\org\apache\accumulo\fate\zookeeper\ZooCacheTest.java,easymock,static org.easymock.EasyMock.createStrictMock
accumulo,accumulo\core\src\test\java\org\apache\accumulo\fate\zookeeper\ZooCacheTest.java,easymock,static org.easymock.EasyMock.eq
accumulo,accumulo\core\src\test\java\org\apache\accumulo\fate\zookeeper\ZooCacheTest.java,easymock,static org.easymock.EasyMock.expect
accumulo,accumulo\core\src\test\java\org\apache\accumulo\fate\zookeeper\ZooCacheTest.java,easymock,static org.easymock.EasyMock.expectLastCall
accumulo,accumulo\core\src\test\java\org\apache\accumulo\fate\zookeeper\ZooCacheTest.java,easymock,static org.easymock.EasyMock.replay
accumulo,accumulo\core\src\test\java\org\apache\accumulo\fate\zookeeper\ZooCacheTest.java,easymock,static org.easymock.EasyMock.verify
accumulo,accumulo\core\src\test\java\org\apache\accumulo\fate\zookeeper\ZooCacheTest.java,easymock,org.easymock.Capture
accumulo,accumulo\core\src\test\java\org\apache\accumulo\fate\zookeeper\ZooCacheTest.java,easymock,org.easymock.EasyMock
accumulo,accumulo\core\src\test\java\org\apache\accumulo\fate\zookeeper\ZooReaderWriterTest.java,easymock,static org.easymock.EasyMock.createMock
accumulo,accumulo\core\src\test\java\org\apache\accumulo\fate\zookeeper\ZooReaderWriterTest.java,easymock,static org.easymock.EasyMock.createMockBuilder
accumulo,accumulo\core\src\test\java\org\apache\accumulo\fate\zookeeper\ZooReaderWriterTest.java,easymock,static org.easymock.EasyMock.expect
accumulo,accumulo\core\src\test\java\org\apache\accumulo\fate\zookeeper\ZooReaderWriterTest.java,easymock,static org.easymock.EasyMock.expectLastCall
accumulo,accumulo\core\src\test\java\org\apache\accumulo\fate\zookeeper\ZooReaderWriterTest.java,easymock,static org.easymock.EasyMock.replay
