Project Name,commits,contributors,releases,.java Files,LOC,test Files,test LOC,'Mock' imports,Mocking frameworks
creadur-tentacles,119,7,0,32,1560,2,34,0,0
myfaces-tobago,11423,26,125,810,47538,92,5780,0,0
synapse,4242,49,14,1294,103920,317,16820,0,0
syncope,7541,58,104,2776,218751,305,39364,34,3
tajo,2275,53,15,1860,224332,307,51665,2,1
tapestry-5,5600,48,145,3221,164843,1331,52517,23,1
tez,2849,64,42,1144,193060,294,86455,104,1
thrift,6386,513,22,255,20545,73,6680,3,1
tika,5445,136,64,1400,141457,410,41836,3,1
tiles,1465,16,27,291,15768,121,9788,67,1
