project name, variety of inside mocked classes, variety of outside mocked classes, proportion of mocked classes
mina-sshd,0,30,
sis,0,0,
skywalking,32,15,
solr,40,8,
spark,20,5,
sqoop,19,25,
storm,71,17,
stratos,0,0,
struts,16,19,
 
more inside classes mocked: ,more outside classes mocked: 
4,3
