class name, frequency
org.apache.hc.client5.http.cookie.CommonCookieAttributeHandler,34,
org.apache.hc.client5.http.io.ManagedHttpClientConnection,2,
java.net.Socket,4,
org.apache.hc.client5.http.socket.ConnectionSocketFactory,4,
org.apache.hc.client5.http.socket.LayeredConnectionSocketFactory,4,
org.apache.hc.client5.http.SchemePortResolver,8,
org.apache.hc.client5.http.DnsResolver,2,
org.apache.hc.client5.http.io.ConnectionEndpoint,2,
java.net.ProxySelector,2,
org.apache.hc.client5.http.cache.Resource,2,
org.apache.hc.client5.http.impl.cache.AbstractBinaryAsyncCacheStorage,2,
org.apache.hc.client5.http.impl.cache.HttpCache,2,
org.apache.hc.client5.http.impl.cache.AbstractBinaryCacheStorage,2,
org.apache.hc.client5.http.classic.ExecChain,2,
org.apache.hc.core5.http.impl.io.AbstractMessageWriter,2,
org.apache.hc.core5.http.impl.io.AbstractMessageParser,2,
org.apache.hc.client5.http.cache.HttpCacheEntry,2,
org.apache.hc.core5.http.HttpRequest,2,
org.apache.hc.client5.http.impl.cache.CacheValidityPolicy,2,
org.ietf.jgss.GSSManager,2,
org.ietf.jgss.GSSName,2,
org.ietf.jgss.GSSContext,2,
org.apache.hc.core5.http.io.HttpClientConnection,26,
org.apache.hc.core5.http.protocol.HttpProcessor,20,
org.apache.hc.core5.http.io.HttpResponseInformationCallback,4,
javax.net.ssl.SSLSession,2,
org.apache.hc.core5.http.io.EofSensorWatcher,2,
org.apache.hc.core5.http.nio.CapacityChannel,10,
org.apache.hc.core5.http.nio.DataStreamChannel,2,
org.apache.hc.core5.http.HttpConnection,76,
org.apache.hc.core5.reactor.IOEventHandlerFactory,2,
org.apache.hc.core5.reactor.AbstractIOSessionPool,2,
org.apache.hc.core5.testing.framework.TestingFrameworkRequestHandler,20,
org.apache.hc.core5.testing.framework.ClientTestingAdapter,4,
org.apache.parquet.hadoop.ParquetReader,2,
java.io.DataOutput,1,
java.io.DataInput,1,
java.util.Iterator,4,
org.apache.hadoop.hbase.client.Connection,2,
org.apache.hadoop.hbase.client.HTable,2,
org.apache.spark.api.java.JavaRDD,3,
com.datastax.driver.core.ResultSetFuture,2,
com.datastax.driver.core.Cluster.Builder,2,
com.datastax.driver.core.PreparedStatement,2,
com.datastax.driver.core.PreparedId,2,
java.lang.management.MemoryMXBean,2,
java.util.concurrent.locks.Lock,8,
,1,
javax.jcr.Node,1,
javax.jcr.Property,2,
javax.jcr.Value,3,
javax.jcr.Session,1,
