project name, # of total classes created, # of inside classes mocked
any23,339,4,
apex,346,0,
archiva,685,22,
aries,1308,8,
avro,373,2,
axis2,1761,1,
beam,3052,0,
bookkeeper,1543,119,
brooklyn,1865,7,
bval,234,1,
calcite,1860,3,
camel,9696,104,
carbondata,1011,0,
cayenne,2463,77,
chainsaw,181,0,
chemistry,1086,3,
clerezza,193,5,
cloudstack,5143,220,
cocoon,2367,0,
commons-bcel,429,0,
whisker,59,0,
axiom,761,1,
