class name, frequency
io.netty.channel.ChannelHandlerContext,1,
io.netty.channel.Channel,5,
io.netty.channel.ChannelPromise,15,
io.netty.channel.EventLoop,1,
java.util.concurrent.CountDownLatch,1,
org.apache.zookeeper.AsyncCallback.VoidCallback,1,
com.scurrilous.circe.impl.AbstractStatelessLongHash,1,
com.scurrilous.circe.impl.AbstractIncrementalLongHash,1,
com.scurrilous.circe.impl.AbstractStatelessIntHash,1,
com.scurrilous.circe.impl.AbstractIncrementalIntHash,1,
com.scurrilous.circe.impl.AbstractStatefulHash,1,
org.apache.distributedlog.metadata.LogMetadata,3,
org.apache.distributedlog.metadata.LogMetadataForWriter,3,
org.apache.distributedlog.ZooKeeperClient,4,
org.apache.zookeeper.Op,3,
org.rocksdb.AbstractImmutableNativeReference,1,
io.grpc.ManagedChannel,1,
org.apache.curator.framework.CuratorFramework,1,
org.apache.distributedlog.api.namespace.Namespace,2,
org.apache.distributedlog.api.DistributedLogManager,2,
org.apache.distributedlog.api.AsyncLogWriter,2,
org.apache.distributedlog.api.AsyncLogReader,2,
javax.inject.Provider,2,
org.jclouds.compute.strategy.GetImageStrategy,1,
org.jclouds.compute.domain.NodeMetadata,3,
org.jclouds.domain.Location,1,
org.jclouds.compute.extensions.SecurityGroupExtension,1,
org.jclouds.compute.ComputeService,1,
org.jclouds.compute.domain.Template,4,
org.jclouds.compute.options.TemplateOptions,4,
twitter4j.Status,1,
twitter4j.User,1,
io.atlasmap.api.AtlasSession,1,
io.atlasmap.core.DefaultAtlasSession,1,
org.atmosphere.websocket.WebSocket,2,
com.azure.cosmos.CosmosAsyncDatabase,6,
com.azure.cosmos.models.CosmosContainerResponse,2,
com.azure.cosmos.CosmosAsyncContainer,9,
com.azure.cosmos.models.CosmosDatabaseResponse,2,
javax.validation.ValidationProviderResolver,1,
com.surftools.BeanstalkClient.Job,8,
com.box.sdk.BoxAPIConnection,3,
com.datastax.oss.driver.api.core.cql.ResultSet,3,
com.datastax.oss.driver.api.core.cql.Row,3,
org.apache.cxf.endpoint.Endpoint,1,
org.apache.cxf.binding.Binding,1,
javax.ws.rs.core.Response,1,
org.apache.cxf.transport.ConduitInitiator,1,
org.apache.cxf.ws.addressing.EndpointReferenceType,1,
com.google.cloud.bigquery.BigQuery,2,
com.google.api.services.bigquery.Bigquery.Tabledata,1,
com.google.cloud.bigquery.InsertAllResponse,1,
com.google.cloud.bigquery.TableResult,1,
org.apache.gora.persistency.Persistent,1,
com.hazelcast.transaction.TransactionContext,2,
org.apache.hadoop.fs.FSDataInputStream,2,
com.obs.services.ObsClient,11,
org.influxdb.impl.InfluxDBImpl,1,
org.schwering.irc.lib.IRCConnection,3,
org.schwering.irc.lib.IRCEventAdapter,2,
javax.net.SocketFactory,1,
java.util.concurrent.Future,1,
org.apache.kafka.clients.producer.KafkaProducer,1,
javax.mail.Message,1,
javax.management.ObjectInstance,1,
com.codahale.metrics.MetricRegistry,6,
com.codahale.metrics.Histogram,1,
com.codahale.metrics.Counter,2,
com.codahale.metrics.Timer,1,
com.codahale.metrics.Meter,1,
io.micrometer.core.instrument.MeterRegistry,1,
io.micrometer.core.instrument.Counter,1,
org.apache.mina.transport.socket.SocketConnector,1,
com.googlecode.jsendnsca.NagiosPassiveCheckSender,3,
com.impossibl.postgres.jdbc.PGDataSource,3,
com.impossibl.postgres.api.jdbc.PGConnection,6,
java.sql.CallableStatement,1,
javax.print.PrintService,5,
javax.print.DocPrintJob,4,
javax.print.PrintServiceLookup,1,
org.apache.pulsar.client.api.Consumer,3,
quickfix.MessageStoreFactory,3,
quickfix.LogFactory,3,
quickfix.MessageFactory,2,
quickfix.MessageStore,2,
quickfix.Application,1,
com.rabbitmq.client.Connection,3,
com.rabbitmq.client.Channel,2,
com.rabbitmq.client.AlreadyClosedException,1,
com.rabbitmq.client.ConnectionFactory,1,
com.rabbitmq.client.Envelope,1,
com.rabbitmq.client.AMQP.BasicProperties,1,
org.cometd.bayeux.client.ClientSessionChannel,8,
org.eclipse.jetty.client.api.Request,3,
org.eclipse.jetty.client.api.ContentResponse,1,
org.eclipse.jetty.client.api.Response,2,
org.eclipse.jetty.client.api.Result,1,
org.eclipse.jetty.client.HttpConversation,1,
org.jsmpp.session.SMPPSession,9,
org.springframework.batch.core.Job,3,
org.springframework.batch.core.JobExecution,1,
org.springframework.ldap.core.LdapTemplate,1,
java.util.function.BiFunction,1,
org.web3j.protocol.core.methods.response.Web3ClientVersion,3,
org.web3j.protocol.core.methods.response.NetVersion,1,
org.web3j.protocol.core.methods.response.Web3Sha3,1,
org.web3j.protocol.core.methods.response.NetListening,1,
org.web3j.protocol.core.methods.response.NetPeerCount,1,
org.web3j.protocol.core.methods.response.EthProtocolVersion,1,
org.web3j.protocol.core.methods.response.EthCoinbase,1,
org.web3j.protocol.core.methods.response.EthSyncing,1,
org.web3j.protocol.core.methods.response.EthMining,1,
org.web3j.protocol.core.methods.response.EthHashrate,1,
org.web3j.protocol.core.methods.response.EthGasPrice,1,
org.web3j.protocol.core.methods.response.EthAccounts,1,
org.web3j.protocol.core.methods.response.EthBlockNumber,1,
org.web3j.protocol.core.methods.response.EthGetBalance,1,
org.web3j.protocol.core.methods.response.EthGetStorageAt,1,
org.web3j.protocol.core.methods.response.EthGetTransactionCount,1,
org.web3j.protocol.core.methods.response.EthGetBlockTransactionCountByHash,1,
org.web3j.protocol.core.methods.response.EthGetBlockTransactionCountByNumber,1,
org.web3j.protocol.core.methods.response.EthGetUncleCountByBlockHash,1,
org.web3j.protocol.core.methods.response.EthGetUncleCountByBlockNumber,1,
org.web3j.protocol.core.methods.response.EthGetCode,1,
org.web3j.protocol.core.methods.response.EthSign,1,
org.web3j.protocol.core.methods.response.EthSendTransaction,3,
org.web3j.protocol.core.methods.response.EthCall,1,
org.web3j.protocol.core.methods.response.EthEstimateGas,1,
org.web3j.protocol.core.methods.response.EthBlock,3,
org.web3j.protocol.core.methods.response.EthBlock.Block,3,
org.web3j.protocol.core.methods.response.EthTransaction,3,
org.web3j.protocol.core.methods.response.Transaction,3,
org.web3j.protocol.core.methods.response.EthGetTransactionReceipt,1,
java.util.Optional,1,
org.web3j.protocol.core.methods.response.EthGetCompilers,1,
org.web3j.protocol.core.methods.response.EthCompileLLL,1,
org.web3j.protocol.core.methods.response.EthCompileSolidity,1,
org.web3j.protocol.core.methods.response.EthCompileSerpent,1,
org.web3j.protocol.core.methods.response.EthFilter,3,
org.web3j.protocol.core.methods.response.EthUninstallFilter,1,
org.web3j.protocol.core.methods.response.EthLog,3,
org.web3j.protocol.core.methods.response.EthGetWork,1,
org.web3j.protocol.core.methods.response.EthSubmitWork,1,
org.web3j.protocol.core.methods.response.EthSubmitHashrate,1,
org.web3j.protocol.core.methods.response.DbPutString,1,
org.web3j.protocol.core.methods.response.DbGetString,1,
org.web3j.protocol.core.methods.response.DbPutHex,1,
org.web3j.protocol.core.methods.response.DbGetHex,1,
org.web3j.protocol.core.methods.response.ShhPost,1,
org.web3j.protocol.core.methods.response.ShhVersion,1,
org.web3j.protocol.core.methods.response.ShhNewIdentity,1,
org.web3j.protocol.core.methods.response.ShhHasIdentity,1,
org.web3j.protocol.core.methods.response.ShhNewGroup,1,
org.web3j.protocol.core.methods.response.ShhAddToGroup,1,
org.web3j.protocol.core.methods.response.ShhNewFilter,1,
org.web3j.protocol.core.methods.response.ShhUninstallFilter,1,
org.web3j.protocol.core.methods.response.ShhMessages,2,
org.web3j.protocol.core.Response.Error,1,
org.web3j.quorum.methods.response.QuorumNodeInfo,1,
org.web3j.quorum.methods.response.CanonicalHash,1,
org.web3j.quorum.methods.response.Vote,1,
org.web3j.quorum.methods.response.MakeBlock,1,
org.web3j.protocol.core.methods.response.VoidResponse,2,
org.web3j.quorum.methods.response.BlockMaker,1,
org.web3j.quorum.methods.response.Voter,1,
org.web3j.quorum.methods.response.PrivatePayload,1,
org.eclipse.jetty.websocket.servlet.ServletUpgradeRequest,1,
org.eclipse.jetty.websocket.servlet.ServletUpgradeResponse,1,
java.sql.Statement,1,
java.sql.SQLException,1,
java.net.URL,2,
,2,
com.cloud.user.User,9,
com.cloud.user.Account,52,
com.cloud.resource.ResourceService,6,
com.cloud.host.Host,39,
com.cloud.configuration.ConfigurationService,1,
com.cloud.network.NetworkService,8,
com.cloud.network.PhysicalNetworkServiceProvider,1,
com.cloud.vm.UserVmService,4,
com.cloud.uservm.UserVm,6,
com.cloud.projects.Project,2,
com.cloud.projects.ProjectService,3,
com.cloud.storage.StorageService,2,
com.cloud.storage.ImageStore,1,
com.cloud.user.AccountService,8,
com.cloud.network.vpn.RemoteAccessVpnService,5,
com.cloud.network.VpnUser,3,
com.cloud.storage.VolumeApiService,3,
com.cloud.storage.Snapshot,6,
com.cloud.org.Cluster,1,
com.cloud.server.ManagementService,3,
com.cloud.vm.NicSecondaryIp,3,
com.cloud.dc.DataCenterVO,33,
com.cloud.network.dao.NetworkVO,63,
com.cloud.vm.VirtualMachineProfile,28,
com.cloud.vm.NicProfile,8,
com.cloud.template.VirtualMachineTemplate,2,
com.cloud.utils.script.Script,11,
com.cloud.storage.StoragePool,39,
com.cloud.agent.api.CheckNetworkCommand,1,
com.cloud.host.dao.HostDao,15,
com.cloud.agent.Listener,1,
com.cloud.agent.api.Answer,17,
com.cloud.utils.nio.Link,6,
com.cloud.vm.VirtualMachineGuru,3,
com.cloud.vm.VirtualMachine,11,
com.cloud.service.ServiceOfferingVO,10,
com.cloud.storage.StoragePoolHostVO,2,
com.cloud.storage.Volume,3,
com.cloud.storage.DiskOfferingVO,19,
com.cloud.network.guru.NetworkGuru,2,
com.cloud.offerings.NetworkOfferingVO,3,
com.cloud.vm.dao.NicDao,3,
com.cloud.network.dao.NetworkDao,27,
com.cloud.network.NetworkModel,18,
com.cloud.vm.dao.NicSecondaryIpDao,3,
com.cloud.network.dao.NetworkServiceMapDao,6,
com.cloud.vm.dao.NicIpAliasDao,1,
com.cloud.network.dao.IPAddressDao,16,
com.cloud.dc.dao.VlanDao,6,
com.cloud.network.element.DhcpServiceProvider,2,
com.cloud.vm.NicVO,12,
com.cloud.network.Network,40,
com.cloud.vm.UserVmManager,3,
com.cloud.storage.StorageManager,9,
com.cloud.user.ResourceLimitService,5,
com.cloud.user.AccountManager,47,
com.cloud.cluster.ClusteredAgentRebalanceService,1,
com.cloud.server.auth.UserAuthenticator,8,
com.cloud.template.TemplateManager,3,
com.cloud.server.ManagementServer,2,
com.cloud.vm.VirtualMachineManager,4,
com.cloud.resource.ResourceManager,10,
com.cloud.vm.dao.DomainRouterDao,4,
com.cloud.alert.AlertManager,5,
com.cloud.hypervisor.HypervisorGuruManager,3,
T,1,
com.cloud.storage.snapshot.SnapshotScheduler,1,
com.cloud.user.DomainManager,4,
com.cloud.storage.CreateSnapshotPayload,1,
com.cloud.storage.VolumeVO,8,
com.cloud.storage.SnapshotVO,2,
com.cloud.vm.snapshot.VMSnapshotVO,3,
com.cloud.vm.UserVmVO,17,
com.cloud.storage.GuestOSVO,6,
com.cloud.storage.GuestOSHypervisorVO,3,
com.cloud.host.HostVO,44,
com.cloud.agent.api.CreateVMSnapshotAnswer,1,
com.cloud.agent.api.VMSnapshotTO,5,
com.cloud.agent.api.RevertToVMSnapshotAnswer,1,
com.cloud.agent.api.DeleteVMSnapshotAnswer,1,
com.cloud.storage.dao.GuestOSDao,5,
com.cloud.storage.dao.GuestOSHypervisorDao,1,
com.cloud.vm.dao.UserVmDao,16,
com.cloud.vm.snapshot.dao.VMSnapshotDao,1,
com.cloud.agent.AgentManager,29,
com.cloud.storage.dao.VolumeDao,6,
com.cloud.storage.dao.DiskOfferingDao,4,
com.cloud.utils.component.PluggableService,1,
com.cloud.user.dao.AccountDao,11,
