project name, # of total classes created, # of inside classes mocked
creadur-tentacles,30,0,
myfaces-tobago,709,0,
synapse,977,0,
syncope,2482,47,
tajo,1553,0,
tapestry-5,1924,0,
tez,858,107,
thrift,190,0,
tika,1054,3,
tiles,170,30,
