class name, frequency
java.util.function.Predicate<java.lang.String>,5,
org.apache.zookeeper.ZooKeeper,6,
java.util.concurrent.ExecutorService,2,
org.apache.thrift.transport.TServerSocket,2,
java.net.SocketAddress,3,
java.net.Socket,3,
java.io.InputStream,1,
org.apache.hadoop.conf.Configuration,2,
org.apache.hadoop.fs.FileSystem,9,
org.slf4j.Logger,1,
org.apache.zookeeper.Watcher,1,
org.apache.hadoop.fs.Path,5,
io.micrometer.core.instrument.MeterRegistry,1,
io.micrometer.core.instrument.Timer,1,
org.apache.hadoop.fs.FileStatus,6,
org.apache.hadoop.fs.FSDataOutputStream,2,
java.util.concurrent.Future<java.lang.Integer>,1,
org.apache.commons.cli.CommandLine,7,
org.jline.reader.LineReader,5,
java.io.PrintWriter,2,
