project name, # of total classes created, # of inside classes mocked
ant-antlibs-props,23,0,
orc,261,5,
parquet-mr,0,0,
pdfbox,1152,0,
phoenix,1802,0,
pig,1273,0,
pivot,784,0,
plc4x,989,23,
poi,2523,0,
polygene-java,2062,0,
