class name, frequency
jakarta.servlet.ServletContext,2,
org.springframework.mock.web.MockHttpServletRequest,5,
javax.ws.rs.ext.Providers,3,
javax.servlet.ServletConfig,3,
javax.servlet.http.HttpServletResponse,14,
javax.servlet.ServletContext,2,
javax.servlet.http.HttpServletRequest,14,
javax.servlet.FilterChain,2,
javax.ws.rs.core.MultivaluedMap,1,
javax.ws.rs.core.HttpHeaders,6,
javax.ws.rs.ext.ExceptionMapper,3,
java.util.Properties,1,
javax.servlet.http.HttpServletRequestWrapper,2,
javax.ws.rs.core.UriInfo,2,
javax.servlet.ServletInputStream,1,
java.awt.color.ColorSpace,2,
org.apache.xmlgraphics.image.codec.tiff.TIFFEncodeParam,3,
java.awt.image.RenderedImage,1,
org.apache.xmlgraphics.image.loader.ImageSource,3,
org.apache.xmlgraphics.image.loader.ImageContext,1,
java.io.InputStream,1,
java.io.Reader,1,
javax.xml.transform.stream.StreamSource,4,
javax.xml.transform.sax.SAXSource,3,
org.xml.sax.InputSource,1,
javax.imageio.stream.ImageInputStream,1,
javax.xml.transform.Source,2,
org.apache.xmlgraphics.ps.PSGenerator,1,
java.awt.image.BufferedImage,1,
java.awt.image.WritableRaster,1,
java.awt.image.DataBuffer,1,
jdk.javadoc.doclet.DocletEnvironment,1,
java.io.File,2,
javax.net.ssl.X509ExtendedTrustManager,1,
java.net.InetAddress,7,
java.net.Socket,6,
java.nio.channels.Selector,2,
java.nio.channels.SocketChannel,2,
io.netty.channel.Channel,2,
io.netty.channel.EventLoop,1,
io.netty.channel.ChannelId,1,
io.netty.channel.ChannelFuture,1,
io.netty.channel.ChannelHandlerContext,1,
io.netty.channel.ChannelPipeline,1,
io.netty.util.Attribute,1,
org.apache.jute.OutputArchive,1,
org.apache.jute.InputArchive,1,
java.io.BufferedOutputStream,2,
org.apache.jute.Record,2,
org.apache.jute.BinaryOutputArchive,1,
