project name, # of total classes created, # of inside classes mocked
creadur-whisker,59,0,
wicket,1836,27,
wink,573,11,
wookie,230,0,
xalan-j,949,0,
xerces2-j,768,0,
xmlbeans,507,0,
xmlgraphics-commons,326,0,
zeppelin,647,0,
zookeeper,492,29,
