project name, variety of inside mocked classes, variety of outside mocked classes, proportion of mocked classes
creadur-whisker,0,0,
wicket,2,1,
wink,11,14,
wookie,0,0,
xalan-j,0,0,
xerces2-j,0,0,
xmlbeans,0,0,
xmlgraphics-commons,0,16,
yetus,0,1,
zookeeper,29,20,
 
more inside classes mocked: ,more outside classes mocked: 
2,3
