Project Name,commits,contributors,releases,.java Files,LOC,test Files,test LOC,'Mock' imports,Mocking frameworks,No Import Mock File
ant-ivy,3030,36,20,661,76877,165,25338,0,0,0
ant-ivyde,847,16,9,210,17094,19,338,0,0,0
guacamole-client,6063,94,25,729,31324,13,839,0,0,0
hama,1595,25,33,427,46103,73,6964,0,0,0
harmony,956,24,1,7607,1124801,3586,564366,1,1,0
hbase,19018,577,584,4605,823375,2133,357991,233,1,5
helix,4148,75,33,1358,168870,558,82398,48,1,3
hive,15985,455,56,7551,1345649,1768,357956,200,3,1
hop,3585,43,13,3616,627137,930,98017,265,2,13
httpcomponents-client,3339,81,127,699,71708,245,36020,49,1,0
httpcomponents-core,3651,71,136,915,79543,281,37677,26,1,0
hudi,2474,279,62,1680,175858,511,72798,47,2,0
ignite,27942,446,88,11364,1218289,4942,592306,42,2,1
iotdb,5845,249,21,2373,328364,680,145977,16,2,0
isis,19101,67,145,5533,267719,1133,63446,107,3,31
jackrabbit,8941,51,263,3129,343464,1034,108905,4,2,0
jclouds,10781,310,102,5846,399303,2212,169298,304,3,158
