class name, frequency
java.io.StringReader,1,
java.io.StringWriter,43,
java.io.ByteArrayInputStream,1,
java.io.ByteArrayOutputStream,3,
java.util.concurrent.ScheduledExecutorService,9,
java.util.concurrent.ScheduledFuture<>,7,
java.util.concurrent.ThreadFactory,10,
java.lang.Thread.UncaughtExceptionHandler,3,
java.lang.Runnable,9,
org.apache.commons.lang3.concurrent.ConcurrentInitializer<java.lang.Object>,3,
org.apache.commons.lang3.concurrent.ConcurrentInitializer<java.lang.Integer>,4,
org.apache.commons.lang3.concurrent.Computable<java.lang.Integer,java.lang.Integer>,1,
java.beans.VetoableChangeListener,5,
