project name, file path, num of dependency classes, num of mocked classes,
accumulo,/core/src/test/java/org/apache/accumulo/core/spi/compaction/DefaultCompactionPlannerTest.java,23,2,9%
accumulo,/core/src/test/java/org/apache/accumulo/core/spi/fs/PreferredVolumeChooserTest.java,17,2,12%
accumulo,/core/src/test/java/org/apache/accumulo/core/spi/fs/SpaceAwareVolumeChooserTest.java,12,3,25%
accumulo,/core/src/test/java/org/apache/accumulo/core/spi/fs/PerTableVolumeChooserTest.java,16,2,13%
accumulo,/core/src/test/java/org/apache/accumulo/core/util/MonitorUtilTest.java,14,2,14%
accumulo,/core/src/test/java/org/apache/accumulo/core/volume/VolumeImplTest.java,16,2,13%
accumulo,/core/src/test/java/org/apache/accumulo/fate/ReadOnlyStoreTest.java,7,2,29%
accumulo,/core/src/test/java/org/apache/accumulo/fate/util/RetryTest.java,20,2,10%
accumulo,/core/src/test/java/org/apache/accumulo/fate/zookeeper/ZooCacheTest.java,26,2,8%
accumulo,/core/src/test/java/org/apache/accumulo/fate/zookeeper/ZooReaderWriterTest.java,22,4,18%
accumulo,/core/src/test/java/org/apache/accumulo/fate/zookeeper/ZooCacheFactoryTest.java,8,1,13%
accumulo,/gc/src/test/java/org/apache/accumulo/gc/SimpleGarbageCollectorTest.java,33,5,15%
accumulo,/gc/src/test/java/org/apache/accumulo/gc/GarbageCollectWriteAheadLogsTest.java,29,5,17%
accumulo,/manager/src/test/java/org/apache/accumulo/manager/metrics/ReplicationMetricsTest.java,15,6,40%
accumulo,/manager/src/test/java/org/apache/accumulo/manager/replication/UnorderedWorkAssignerTest.java,27,5,19%
accumulo,/manager/src/test/java/org/apache/accumulo/manager/replication/ManagerReplicationCoordinatorTest.java,14,3,21%
accumulo,/manager/src/test/java/org/apache/accumulo/manager/replication/SequentialWorkAssignerTest.java,20,5,25%
accumulo,/manager/src/test/java/org/apache/accumulo/manager/tableOps/ShutdownTServerTest.java,14,2,14%
accumulo,/manager/src/test/java/org/apache/accumulo/manager/tableOps/compact/CompactionDriverTest.java,15,3,20%
accumulo,/manager/src/test/java/org/apache/accumulo/manager/tableOps/tableImport/ImportTableTest.java,18,4,22%
accumulo,/manager/src/test/java/org/apache/accumulo/manager/upgrade/Upgrader9to10Test.java,48,5,10%
accumulo,/manager/src/test/java/org/apache/accumulo/manager/upgrade/AccumuloTest.java,20,6,30%
accumulo,/minicluster/src/test/java/org/apache/accumulo/cluster/standalone/StandaloneAccumuloClusterTest.java,4,2,50%
accumulo,/minicluster/src/test/java/org/apache/accumulo/miniclusterImpl/CleanShutdownMacTest.java,10,2,20%
accumulo,/monitor/src/test/java/org/apache/accumulo/monitor/it/WebViewsIT.java,39,2,5%
accumulo,/monitor/src/test/java/org/apache/accumulo/monitor/rest/tservers/TabletServerInformationTest.java,13,1,8%
accumulo,/shell/src/test/java/org/apache/accumulo/shell/commands/ImportDirectoryCommandTest.java,13,5,38%
accumulo,/shell/src/test/java/org/apache/accumulo/shell/commands/DropUserCommandTest.java,9,6,67%
accumulo,/shell/src/test/java/org/apache/accumulo/shell/commands/HistoryCommandTest.java,21,1,5%
accumulo,/shell/src/test/java/org/apache/accumulo/shell/commands/SetIterCommandTest.java,14,6,43%
accumulo,/shell/src/test/java/org/apache/accumulo/shell/commands/DeleteAuthsCommandTest.java,9,5,56%
accumulo,/shell/src/test/java/org/apache/accumulo/shell/commands/ListTabletsCommandTest.java,26,5,19%
accumulo,/shell/src/test/java/org/apache/accumulo/shell/format/DeleterFormatterTest.java,32,3,9%
accumulo,/start/src/test/java/org/apache/accumulo/start/classloader/vfs/AccumuloVFSClassLoaderTest.java,21,0,0%
accumulo,/test/src/main/java/org/apache/accumulo/test/InMemoryMapIT.java,39,1,3%
accumulo,/test/src/main/java/org/apache/accumulo/test/fate/zookeeper/FateIT.java,33,2,6%
accumulo,/test/src/main/java/org/apache/accumulo/test/gc/replication/CloseWriteAheadLogReferencesIT.java,43,2,5%
accumulo,/test/src/main/java/org/apache/accumulo/test/replication/ReplicationOperationsImplIT.java,40,1,3%
accumulo,/test/src/main/java/org/apache/accumulo/test/replication/UnorderedWorkAssignerIT.java,30,1,3%
accumulo,/test/src/main/java/org/apache/accumulo/test/replication/StatusMakerIT.java,43,2,5%
accumulo,/test/src/main/java/org/apache/accumulo/test/replication/SequentialWorkAssignerIT.java,29,1,3%
accumulo,/test/src/main/java/org/apache/accumulo/test/replication/RemoveCompleteReplicationRecordsIT.java,34,1,3%
accumulo,/tserver/src/test/java/org/apache/accumulo/tserver/BusiestTrackerTest.java,16,1,6%
accumulo,/tserver/src/test/java/org/apache/accumulo/tserver/AssignmentWatcherTest.java,13,3,23%
accumulo,/tserver/src/test/java/org/apache/accumulo/tserver/TabletResourceManagerTest.java,7,3,43%
accumulo,/tserver/src/test/java/org/apache/accumulo/tserver/TservConstraintEnvTest.java,13,2,15%
accumulo,/tserver/src/test/java/org/apache/accumulo/tserver/InMemoryMapTest.java,48,1,2%
accumulo,/tserver/src/test/java/org/apache/accumulo/tserver/compaction/DefaultCompactionStrategyTest.java,38,1,3%
accumulo,/tserver/src/test/java/org/apache/accumulo/tserver/constraints/ConstraintCheckerTest.java,20,5,25%
accumulo,/tserver/src/test/java/org/apache/accumulo/tserver/log/SortedLogRecoveryTest.java,54,1,2%
accumulo,/tserver/src/test/java/org/apache/accumulo/tserver/log/TestUpgradePathForWALogs.java,27,1,4%
accumulo,/tserver/src/test/java/org/apache/accumulo/tserver/log/RecoveryLogsIteratorTest.java,37,1,3%
accumulo,/tserver/src/test/java/org/apache/accumulo/tserver/log/DfsLoggerTest.java,10,1,10%
accumulo,/tserver/src/test/java/org/apache/accumulo/tserver/memory/LargestFirstMemoryManagerTest.java,17,2,12%
accumulo,/tserver/src/test/java/org/apache/accumulo/tserver/replication/ReplicationProcessorTest.java,20,4,20%
accumulo,/tserver/src/test/java/org/apache/accumulo/tserver/replication/BatchWriterReplicationReplayerTest.java,23,3,13%
accumulo,/tserver/src/test/java/org/apache/accumulo/tserver/replication/AccumuloReplicaSystemTest.java,38,2,5%
accumulo,/tserver/src/test/java/org/apache/accumulo/tserver/tablet/TabletTest.java,7,2,29%
accumulo,/tserver/src/test/java/org/apache/accumulo/tserver/tablet/TabletMutationPrepAttemptTest.java,12,1,8%
activemq,/activemq-amqp/src/test/java/org/apache/activemq/transport/amqp/message/JMSMappingOutboundTransformerTest.java,52,6,12%
activemq,/activemq-http/src/test/java/org/apache/activemq/transport/util/HttpTransportUtilsTest.java,5,1,20%
activemq,/activemq-jdbc-store/src/test/java/org/apache/activemq/store/jdbc/adapter/DefaultJDBCAdapterDoCreateTablesTest.java,26,5,19%
activemq,/activemq-kahadb-store/src/test/java/org/apache/activemq/store/kahadb/disk/journal/DataFileAccessorPoolTest.java,9,1,11%
activemq,/activemq-maven-plugin/src/test/java/org/apache/activemq/maven/StartBrokerMojoTest.java,12,8,67%
activemq,/activemq-mqtt/src/test/java/org/apache/activemq/transport/mqtt/MQTTPingReqTest.java,33,0,0%
activemq,/activemq-mqtt/src/test/java/org/apache/activemq/transport/mqtt/MQTTProtocolConverterTest.java,21,4,19%
activemq,/activemq-ra/src/test/java/org/apache/activemq/ra/MessageEndpointProxyTest.java,13,4,31%
activemq,/activemq-ra/src/test/java/org/apache/activemq/ra/ServerSessionImplTest.java,41,8,20%
activemq,/activemq-stomp/src/test/java/org/apache/activemq/transport/stomp/LegacyFrameTranslatorTest.java,11,1,9%
activemq,/activemq-unit-tests/src/test/java/org/apache/activemq/broker/BrokerServiceTest.java,11,0,0%
activemq,/activemq-unit-tests/src/test/java/org/apache/activemq/config/ConfigTest.java,44,4,9%
activemq,/activemq-unit-tests/src/test/java/org/apache/activemq/network/NetworkRouteTest.java,29,1,3%
activemq,/activemq-unit-tests/src/test/java/org/apache/activemq/network/CustomBridgeFactoryTest.java,18,1,6%
activemq,/activemq-unit-tests/src/test/java/org/apache/activemq/store/jdbc/JDBCIOExceptionHandlerMockeryTest.java,17,3,18%
activemq,/activemq-unit-tests/src/test/java/org/apache/activemq/store/jdbc/LeaseDatabaseLockerTest.java,27,6,22%
activemq,/activemq-unit-tests/src/test/java/org/apache/activemq/transport/discovery/DiscoveryNetworkReconnectTest.java,26,1,4%
