"method"," origin"," count"
"anyList","org.mockito.ArgumentMatchers","4"
"contains","org.mockito.ArgumentMatchers","24"
"nullable","org.mockito.ArgumentMatchers","24"
"anyListOf","org.mockito.ArgumentMatchers","10"
"anyMapOf","org.mockito.ArgumentMatchers","1"
"doCallRealMethod","org.mockito.Mockito","4"
"anyObject","org.mockito.ArgumentMatchers","3"
"thenReturn","org.mockito.stubbing.OngoingStubbing<com.github.maoo.indexer.client.AlfrescoResponse>","46"
"when","org.mockito.Mockito","197"
"anyInt","org.mockito.Matchers","32"
"mock","org.mockito.Mockito","139"
"any","org.mockito.Matchers","43"
"verify","org.mockito.Mockito","59"
"initMocks","org.mockito.MockitoAnnotations","4"
"forClass","org.mockito.ArgumentCaptor","1"
"capture","org.mockito.ArgumentCaptor<org.eclipse.aether.RepositoryEvent>","1"
"getAllValues","org.mockito.ArgumentCaptor<org.eclipse.aether.RepositoryEvent>","1"
"doReturn","org.mockito.Mockito","6"
"anyMap","org.mockito.ArgumentMatchers","8"
"same","org.mockito.Matchers","1"
"verifyNoMoreInteractions","org.mockito.Mockito","20"
"spy","org.mockito.Mockito","31"
"getArguments","org.mockito.invocation.InvocationOnMock","3"
"thenAnswer","org.mockito.stubbing.OngoingStubbing<java.lang.Boolean>","4"
"doThrow","org.mockito.Mockito","2"
"times","org.mockito.Mockito","2"
"mock","org.mockito.Mockito","677"
"thenReturn","org.mockito.stubbing.OngoingStubbing<java.util.Map<java.lang.String|java.lang.String[]>>","342"
"when","org.mockito.Mockito","850"
"verify","org.mockito.Mockito","29"
"verifyNoMoreInteractions","org.mockito.Mockito","2"
"anyString","org.mockito.ArgumentMatchers","21"
"getArguments","org.mockito.invocation.InvocationOnMock","4"
"forClass","org.mockito.ArgumentCaptor","37"
"any","org.mockito.Matchers","419"
"doThrow","org.mockito.Mockito","6"
"initMocks","org.mockito.MockitoAnnotations","3"
"never","org.mockito.Mockito","1"
"doReturn","org.mockito.Mockito","100"
"spy","org.mockito.Mockito","15"
"times","org.mockito.Mockito","7"
"thenAnswer","org.mockito.stubbing.OngoingStubbing<java.lang.Integer>","1"
"given","org.mockito.BDDMockito.BDDStubber","9"
"willAnswer","org.mockito.BDDMockito","6"
"eq","org.mockito.ArgumentMatchers","13"
"isNull","org.mockito.ArgumentMatchers","2"
"thenThrow","org.mockito.stubbing.OngoingStubbing<java.lang.String>","1"
"willReturn","org.mockito.BDDMockito.BDDMyOngoingStubbing<java.lang.Integer>","1"
"verifyZeroInteractions","org.mockito.Mockito","3"
"anyInt","org.mockito.ArgumentMatchers","1"
"anyMap","org.mockito.ArgumentMatchers","1"
"reset","org.mockito.Mockito","1"
"lenient","org.mockito.Mockito","5"
"mockStatic","org.mockito.Mockito","2"
"then","org.mockito.stubbing.OngoingStubbing<java.lang.Object>","1"
"mock","org.mockito.Mockito","103"
"when","org.mockito.Mockito","49"
"thenReturn","org.mockito.stubbing.OngoingStubbing<java.util.List<java.lang.String>>","6"
"forClass","org.mockito.ArgumentCaptor","2"
"then","org.mockito.stubbing.OngoingStubbing<java.lang.String>","33"
"mock","org.mockito.Mockito","624"
"thenReturn","org.mockito.stubbing.OngoingStubbing<java.lang.String>","134"
"when","org.mockito.Mockito","414"
"doAnswer","org.mockito.Mockito","9"
"getArguments","org.mockito.invocation.InvocationOnMock","11"
"any","org.mockito.ArgumentMatchers","106"
"verify","org.mockito.Mockito","186"
"spy","org.mockito.Mockito","47"
"anyString","org.mockito.ArgumentMatchers","41"
"doNothing","org.mockito.Mockito","12"
"initMocks","org.mockito.MockitoAnnotations","5"
"thenCallRealMethod","org.mockito.stubbing.OngoingStubbing<java.lang.Object>","8"
"thenAnswer","org.mockito.stubbing.OngoingStubbing<io.netty.channel.ChannelFuture>","8"
"getArgument","org.mockito.invocation.InvocationOnMock","4"
"openMocks","org.mockito.MockitoAnnotations","3"
"eq","org.mockito.ArgumentMatchers","69"
"times","org.mockito.Mockito","32"
"thenThrow","org.mockito.stubbing.OngoingStubbing<java.lang.Integer>","1"
"anyInt","org.mockito.ArgumentMatchers","2"
"anyObject","org.mockito.ArgumentMatchers","17"
"never","org.mockito.Mockito","5"
