"method"," origin"," count"
"anyObject","org.easymock.EasyMock","14"
"anyTimes","org.easymock.IExpectationSetters<java.lang.Object>","7"
"andAnswer","org.easymock.IExpectationSetters<java.lang.Object>","3"
"expectLastCall","org.easymock.EasyMock","5"
"getCurrentArguments","org.easymock.EasyMock","3"
"reset","org.easymock.EasyMock","3"
"eq","org.easymock.EasyMock","3"
"anyString","org.easymock.EasyMock","2"
"createMock","org.easymock.EasyMock","44"
"replay","org.easymock.EasyMock","22"
"verify","org.easymock.EasyMock","16"
"andReturn","org.easymock.IExpectationSetters<java.lang.Object>","4"
"expect","org.easymock.EasyMock","11"
"mock","org.easymock.EasyMock","1"
"andThrow","org.easymock.IExpectationSetters<java.lang.Integer>","5"
"createNiceMock","org.easymock.EasyMock","5"
"createMock","org.easymock.EasyMock","965"
"replay","org.easymock.EasyMock","243"
"verify","org.easymock.EasyMock","181"
"createNiceControl","org.easymock.EasyMock","119"
"reset","org.easymock.EasyMock","40"
"expectLastCall","org.easymock.EasyMock","130"
"times","org.easymock.IExpectationSetters<java.lang.Object>","4"
"checkOrder","org.easymock.EasyMock","1"
"eq","org.easymock.EasyMock","9"
"isA","org.easymock.EasyMock","23"
"andReturn","org.easymock.IExpectationSetters<java.lang.Object>","223"
"createNiceMock","org.easymock.EasyMock","5"
"reportMatcher","org.easymock.EasyMock","5"
"mock","org.easymock.EasyMock","35"
"expect","org.easymock.EasyMock","838"
"andStubReturn","org.easymock.IExpectationSetters<java.lang.Integer>","1"
"andAnswer","org.easymock.IExpectationSetters<java.lang.Integer>","1"
"anyObject","org.easymock.EasyMock","8"
"anyInt","org.easymock.EasyMock","2"
"createControl","org.easymock.EasyMock","3"
"anyTimes","org.easymock.IExpectationSetters<java.lang.Object>","68"
"makeThreadSafe","org.easymock.IMocksControl","6"
"addMockedMethod","org.easymock.IMockBuilder<java.lang.Object>","4"
"createMockBuilder","org.easymock.EasyMock","7"
"replayAll","org.easymock.EasyMockSupport","6"
"addMockedMethods","org.easymock.IMockBuilder<java.lang.Object>","3"
"once","org.easymock.IExpectationSetters<java.lang.Object>","6"
"mock","org.easymock.EasyMock","6"
"expect","org.easymock.EasyMock","15"
"replay","org.easymock.EasyMock","10"
"createMock","org.easymock.EasyMock","1"
"anyTimes","org.easymock.IExpectationSetters<java.lang.Boolean>","1"
"andReturn","org.easymock.IExpectationSetters<java.lang.Boolean>","1"
