class name, frequency
T,1,
javax.servlet.http.HttpServletRequest,15,
org.apache.hadoop.yarn.client.api.YarnClient,2,
org.apache.hadoop.yarn.api.records.LocalResource,7,
org.apache.hadoop.yarn.api.records.ApplicationReport,2,
org.apache.hadoop.fs.FileSystem,3,
org.apache.hadoop.yarn.api.records.ApplicationId,6,
org.apache.hadoop.conf.Configuration,5,
org.apache.hadoop.security.authentication.client.ConnectionConfigurator,1,
io.netty.channel.ChannelFuture,2,
io.netty.channel.ChannelHandlerContext,1,
io.netty.channel.AbstractChannel,1,
io.netty.channel.ChannelPipeline,1,
org.apache.hadoop.yarn.api.records.ApplicationAttemptId,1,
org.apache.hadoop.yarn.event.EventHandler,27,
org.apache.hadoop.yarn.api.records.Container,37,
org.apache.hadoop.yarn.api.records.ContainerId,36,
org.apache.hadoop.yarn.api.records.NodeId,12,
,2,
org.apache.hadoop.yarn.util.Clock,4,
com.google.common.util.concurrent.ListeningExecutorService,4,
com.google.common.util.concurrent.ListenableFuture,5,
org.apache.hadoop.security.UserGroupInformation,2,
org.apache.hadoop.yarn.api.records.ContainerLaunchContext,4,
org.apache.hadoop.yarn.api.records.ContainerStatus,16,
java.util.List,3,
org.apache.hadoop.yarn.api.protocolrecords.RegisterApplicationMasterResponse,3,
org.apache.hadoop.yarn.client.api.async.AMRMClientAsync.CallbackHandler,1,
org.apache.hadoop.yarn.api.records.Resource,2,
java.util.Map,61,
org.apache.hadoop.security.token.Token,4,
org.apache.hadoop.yarn.api.records.NodeReport,1,
org.apache.hadoop.yarn.webapp.Controller.RequestContext,1,
javax.servlet.http.HttpServletResponse,6,
org.apache.hadoop.mapred.InputFormat,5,
org.apache.hadoop.mapred.InputSplit,19,
org.apache.hadoop.io.compress.CompressionInputStream,4,
org.apache.hadoop.io.compress.Decompressor,3,
org.slf4j.Logger,8,
java.io.OutputStream,2,
org.apache.hadoop.io.compress.Compressor,1,
java.net.HttpURLConnection,1,
java.io.InputStream,2,
org.apache.hadoop.yarn.client.api.TimelineClient,3,
org.apache.maven.artifact.repository.ArtifactRepository,1,
edu.usc.irds.agepredictor.authorage.AgePredicterLocal,1,
java.util.Deque,18,
javax.el.ELResolver,2,
javax.el.ELContext,5,
javax.servlet.ServletContext,11,
javax.servlet.jsp.JspFactory,2,
javax.servlet.jsp.JspApplicationContext,2,
javax.el.ExpressionFactory,2,
javax.el.FunctionMapper,1,
javax.el.VariableMapper,1,
javax.el.ValueExpression,1,
javax.servlet.jsp.tagext.JspFragment,1,
javax.servlet.jsp.PageContext,1,
javax.servlet.jsp.tagext.JspTag,1,
javax.servlet.jsp.tagext.TagData,2,
org.mvel2.integration.VariableResolverFactory,4,
org.mvel2.integration.VariableResolver,5,
ognl.PropertyAccessor,38,
ognl.OgnlContext,4,
javax.servlet.ServletContextEvent,1,
javax.servlet.ServletConfig,2,
java.util.Enumeration,7,
javax.servlet.FilterConfig,1,
javax.servlet.FilterChain,1,
java.util.Set,1,
javax.servlet.RequestDispatcher,2,
javax.servlet.Servlet,1,
java.io.Writer,2,
org.apache.velocity.context.Context,3,
org.apache.velocity.context.InternalContextAdapter,3,
