project name, variety of inside mocked classes, variety of outside mocked classes, proportion of mocked classes
tapestry-5,0,2,
tez,103,43,
thrift,0,1,
tika,0,1,
tiles,30,33,
tomee,0,0,
 
more inside classes mocked: ,more outside classes mocked: 
1,4
