method, origin, count
mock,org.mockito.Mockito,111
when,org.mockito.Mockito,64
verify,org.mockito.Mockito,393
any,org.mockito.ArgumentMatchers,23
eq,org.mockito.ArgumentMatchers,9
thenAnswer,org.mockito.stubbing.OngoingStubbing<java.nio.ByteBuffer>,1
anyInt,org.mockito.ArgumentMatchers,3
anyBoolean,org.mockito.ArgumentMatchers,1
thenReturn,org.mockito.stubbing.OngoingStubbing<java.lang.Integer>,9
verifyZeroInteractions,org.mockito.Mockito,2
inOrder,org.mockito.Mockito,30
never,org.mockito.Mockito,1
times,org.mockito.Mockito,6
anyString,org.mockito.ArgumentMatchers,6
getArgument,org.mockito.invocation.InvocationOnMock,5
timeout,org.mockito.Mockito,3
then,org.mockito.stubbing.OngoingStubbing<java.lang.Object>,2
forClass,org.mockito.ArgumentCaptor,1
doNothing,org.mockito.Mockito,1
