project name, # of total classes created, # of inside classes mocked
ant-ivy,495,0,
ant-ivyde,191,0,
guacamole-client,697,0,
hama,354,0,
harmony,4021,0,
hbase,2493,150,
helix,794,45,
hive,5759,150,
hivemind,82,0,
hop,2645,158,
httpcomponents-client,453,0,
httpcomponents-core,631,0,
hudi,1081,10,
ignite,6398,36,
iotdb,1619,6,
isis,5614,0,
jackrabbit,2095,1,
jakarta-cactus,139,0,
jclouds,3560,0,
