project name, # of total classes created, # of inside classes mocked
ant-ivy,496,0,
ant-ivyde,191,0,
guacamole-client,716,0,
hama,354,0,
hbase,2472,169,
helix,800,46,
hive,5783,184,
hop,2686,175,
httpcomponents-client,454,0,
httpcomponents-core,634,0,
hudi,1169,28,
ignite,6422,38,
iotdb,1693,8,
jackrabbit,2095,1,
jclouds,3634,0,
