project name, # of total classes created, # of inside classes mocked
abdera,582,4,
accumulo,1409,91,
ace,401,0,
activemq,2219,1,
ant,22,0,
ant,21,0,
ant,911,0,
bookkeeper,1548,109,
bval,207,1,
camel,9788,37,
creadur-whisker,59,0,
