method, origin, count
mock,org.mockito.Mockito,9
verify,org.mockito.Mockito,1
any,org.mockito.ArgumentMatchers,1
verifyZeroInteractions,org.mockito.Mockito,1
addHeader,org.springframework.mock.web.MockHttpServletRequest,6
setAsInitial,org.mockejb.jndi.MockContextFactory,1
getName,java.lang.Class<org.mockejb.jndi.MockContextFactory>,1

MockedObjects: ,9

# of Mocked objects each file:,1|4|1|3|
