Project Name,commits,contributors,releases,.java Files,LOC,test Files,test LOC,'Mock' imports,Mocking frameworks,No Import Mock File
mahout,4506,66,34,1245,111437,313,29155,21,2,3
manifoldcf,4925,22,181,1355,227601,258,18799,10,1,5
marmotta,2276,20,9,1544,110258,229,17043,0,0,0
maven-doxia,1748,45,29,308,51302,85,16378,0,0,0
maven,11495,198,63,1062,93640,267,23979,15,1,2
metamodel,893,54,41,813,62028,227,23594,12,1,4
mina,2401,29,65,319,23633,109,13110,11,1,0
mrunit,234,17,8,79,10555,40,7264,5,2,3
myfaces,5644,68,106,1880,210534,555,63863,35,2,136
nutch,3229,85,53,602,57709,121,10776,0,0,0
