project name, # of total classes created, # of inside classes mocked
commons-vfs,382,0,
commons-weaver,88,0,
crunch,591,12,
ctakes,1498,0,
curator,517,4,
cxf,3988,151,
deltaspike,778,2,
derby,1831,0,
directmemory,107,0,
directory-ldap-api,1138,0,
directory-server,1284,0,
directory-studio,1687,0,
drill,3393,0,
