Framework, count
Mocking Framework,1
easymock,5
powermock,3
mockito,7
jmock,2
mockit,1
springframework,2
wiremock,1
gax,1
fabric8,1
mockwebserver,1
mock_javamail,1
opentracing,1
smock,1
mockftpserver,1

project with multiple frameworks: ,6
