method, origin, count
createMock,org.easymock.EasyMock,1646
expect,org.easymock.EasyMock,3264
createStrictMock,org.easymock.EasyMock,206
andReturn,org.easymock.IExpectationSetters<java.lang.String>,606
replay,org.easymock.EasyMock,487
anyTimes,org.easymock.IExpectationSetters<java.lang.String>,227
addMockedMethod,org.easymock.IMockBuilder<java.lang.Object>,7
partialMockBuilder,org.easymock.EasyMock,1
verify,org.easymock.EasyMock,161
createNiceMock,org.easymock.EasyMock,3104
once,org.easymock.IExpectationSetters<java.lang.Object>,70
expectLastCall,org.easymock.EasyMock,80
anyString,org.easymock.EasyMock,56
mock,org.easymock.EasyMock,5
createMockBuilder,org.easymock.EasyMock,34
addMockedMethods,org.easymock.IMockBuilder<java.lang.Object>,3
andThrow,org.easymock.IExpectationSetters<java.lang.Boolean>,18
anyLong,org.easymock.EasyMock,6
anyObject,org.easymock.EasyMock,127
andAnswer,org.easymock.IExpectationSetters<java.lang.Object>,8
getCurrentArguments,org.easymock.EasyMock,6
atLeastOnce,org.easymock.IExpectationSetters<java.lang.String>,60
andDelegateTo,org.easymock.IExpectationSetters<java.lang.Object>,1
isA,org.easymock.EasyMock,29
niceMock,org.easymock.EasyMock,1
reset,org.easymock.EasyMock,58
replayAll,org.easymock.EasyMockSupport,68
verifyAll,org.easymock.EasyMockSupport,62
same,org.easymock.EasyMock,5
newCapture,org.easymock.EasyMock,50
capture,org.easymock.EasyMock,29
injectMocks,org.easymock.EasyMockSupport,3
eq,org.easymock.EasyMock,71
times,org.easymock.IExpectationSetters<java.lang.Boolean>,32
resetAll,org.easymock.EasyMockSupport,15
createControl,org.easymock.EasyMock,31
getValue,org.easymock.Capture<java.util.Set<java.lang.String>>,9
newInstance,org.easymock.Capture,7
createNiceControl,org.easymock.EasyMock,5
getMock,org.easymock.MockControl,1
createStrictControl,org.easymock.MockControl,1
