project name, variety of inside mocked classes, variety of outside mocked classes, proportion of mocked classes
creadur-rat,0,0,
juddi-scout,0,0,
qpid,0,0,
reef,8,0,
roller,0,0,
sandesha,0,0,
santuario-xml-security-java,0,0,
servicemix,0,1,
shindig,62,11,
shiro,23,18,
 
more inside classes mocked: ,more outside classes mocked: 
3,1
