project name, # of total classes created, # of inside classes mocked
creadur-rat,111,0,
qpid,103,0,
reef,1810,8,
river-container,111,0,
roller,543,0,
sandesha,170,0,
santuario-xml-security-java,382,0,
servicemix,115,0,
shindig,657,62,
shiro,574,23,
