Framework, count
mockito,7
powermock,1
confluent,1
fabric8,1
mockwebserver,1
wiremock,2
easymock,2
springframework,2
freemarker,1
mockrunner,1
micrometer,1
agical,1
jmock,1

project with multiple frameworks: ,4
