Project Name,commits,contributors,releases,.java Files,LOC,test Files,test LOC,'Mock' imports,Mocking frameworks,No Import Mock File
ode,3823,28,27,1237,89695,198,14490,3,1,0
ofbiz-framework,28063,77,7,1145,256693,92,10948,11,3,0
olingo-odata4,1895,41,31,1857,189742,519,82686,77,1,2
oltu,860,9,14,247,11945,76,5282,17,2,1
oodt,2105,43,33,1275,104527,250,24072,6,2,0
oozie,2367,35,41,1389,192300,556,94351,38,2,0
openjpa,5233,41,38,4703,460067,3108,214046,6,2,0
openmeetings,3387,19,65,618,59526,95,6719,8,1,5
opennlp,1894,57,39,968,75724,234,15738,9,2,0
openwebbeans,3996,33,63,1548,82450,1038,36128,0,0,0
