Framework, count
mockito,7
powermock,1
opentracing,1
no,1
mockwebserver,1
adobe,1
jmock,2
kafka,1
jclouds,1
squareup,1
easymock,2
opensymphony,1
mockobjects,1
springframework,1

project with multiple frameworks: ,5
