project name, variety of inside mocked classes, variety of outside mocked classes, proportion of mocked classes
ode,0,0,
ofbiz-framework,0,10,
olingo-odata4,0,84,
oltu,0,1,
oodt,5,1,
oozie,19,20,
openjpa,2,7,
openmeetings,1,5,
opennlp,1,0,
openwebbeans,0,0,
 
more inside classes mocked: ,more outside classes mocked: 
2,6
