project name, # of total classes created, # of inside classes mocked
ode,1039,0,
ofbiz-framework,1053,0,
olingo-odata4,1338,0,
oltu,171,0,
oodt,1025,5,
oozie,833,19,
openjpa,1595,2,
openmeetings,523,1,
opennlp,734,1,
openwebbeans,510,0,
