class name, frequency
javax.servlet.http.HttpServletRequest,69,
org.apache.ofbiz.entity.Delegator,4,
org.apache.ofbiz.entity.GenericValue,3,
org.apache.ofbiz.entity.model.ModelEntity,1,
javax.servlet.http.HttpSession,8,
org.apache.ofbiz.webapp.control.ConfigXMLReader.ControllerConfig,1,
org.w3c.dom.Element,5,
javax.servlet.FilterConfig,1,
javax.servlet.http.HttpServletResponse,3,
javax.servlet.FilterChain,1,
org.apache.http.StatusLine,4,
org.apache.olingo.commons.api.edm.Edm,92,
org.apache.http.client.HttpClient,2,
org.apache.olingo.client.api.ODataClient,2,
org.apache.olingo.client.api.Configuration,2,
org.apache.olingo.client.api.http.HttpClientFactory,2,
org.apache.olingo.client.api.http.HttpUriRequestFactory,2,
org.apache.http.client.methods.HttpUriRequest,2,
org.apache.olingo.client.core.communication.request.AbstractODataRequest,2,
org.apache.olingo.client.api.communication.response.ODataResponse,2,
org.apache.olingo.commons.api.edm.EdmEntityContainer,11,
org.apache.olingo.commons.api.edm.EdmEnumType,7,
org.apache.olingo.commons.api.edm.EdmTypeDefinition,6,
org.apache.olingo.commons.api.edm.EdmEntityType,36,
org.apache.olingo.commons.api.edm.EdmComplexType,17,
org.apache.olingo.commons.api.edm.EdmAction,7,
org.apache.olingo.commons.api.edm.EdmFunction,10,
org.apache.olingo.commons.api.edm.EdmTerm,5,
org.apache.olingo.commons.api.edm.EdmAnnotations,3,
org.apache.olingo.commons.api.edm.EdmSchema,7,
org.apache.olingo.commons.api.edm.provider.CsdlEdmProvider,41,
org.apache.olingo.commons.core.edm.EdmProviderImpl,21,
org.apache.olingo.commons.api.edm.EdmEntitySet,25,
org.apache.olingo.commons.api.edm.EdmProperty,32,
org.apache.olingo.commons.api.edm.EdmSingleton,1,
io.netty.handler.codec.http.HttpRequest,3,
io.netty.handler.codec.http.HttpMethod,5,
io.netty.handler.codec.http.HttpHeaders,5,
org.apache.olingo.server.api.uri.queryoption.FormatOption,1,
org.apache.olingo.server.api.serializer.CustomContentTypeSupport,1,
org.apache.olingo.server.api.ServiceMetadata,16,
org.apache.olingo.server.core.ODataHandlerImpl,1,
org.apache.olingo.server.api.debug.DebugSupport,2,
org.apache.olingo.commons.api.edm.EdmReturnType,1,
org.apache.olingo.commons.api.edm.EdmFunctionImport,1,
org.apache.olingo.commons.api.edm.EdmNavigationProperty,5,
org.apache.olingo.commons.api.edm.EdmMember,2,
org.apache.olingo.commons.api.edm.EdmAnnotation,3,
org.apache.olingo.commons.api.edm.annotation.EdmConstantExpression,3,
org.apache.olingo.commons.api.edm.EdmKeyPropertyRef,4,
org.apache.olingo.server.core.uri.parser.search.SearchQueryToken,1,
io.netty.handler.codec.http.DefaultFullHttpRequest,3,
io.netty.handler.codec.http.HttpVersion,3,
io.netty.handler.codec.http.DefaultFullHttpResponse,3,
org.apache.olingo.server.core.ServiceHandler,16,
org.apache.olingo.server.api.uri.UriParameter,8,
org.apache.olingo.server.api.processor.MetadataProcessor,5,
org.apache.olingo.server.api.processor.EntityProcessor,17,
org.apache.olingo.server.api.etag.CustomETagSupport,2,
org.apache.olingo.server.api.processor.ServiceDocumentProcessor,2,
org.apache.olingo.server.api.processor.BatchProcessor,1,
org.apache.olingo.server.api.processor.EntityCollectionProcessor,4,
org.apache.olingo.server.api.processor.CountEntityCollectionProcessor,3,
org.apache.olingo.server.api.processor.PrimitiveProcessor,2,
org.apache.olingo.server.api.processor.PrimitiveValueProcessor,2,
org.apache.olingo.server.api.processor.PrimitiveCollectionProcessor,2,
org.apache.olingo.server.api.processor.CountPrimitiveCollectionProcessor,2,
org.apache.olingo.server.api.processor.ComplexProcessor,2,
org.apache.olingo.server.api.processor.ComplexCollectionProcessor,2,
org.apache.olingo.server.api.processor.CountComplexCollectionProcessor,2,
org.apache.olingo.server.api.processor.MediaEntityProcessor,6,
org.apache.olingo.server.api.processor.ActionPrimitiveProcessor,1,
org.apache.olingo.server.api.processor.ActionPrimitiveCollectionProcessor,1,
org.apache.olingo.server.api.processor.ActionComplexProcessor,1,
org.apache.olingo.server.api.processor.ActionComplexCollectionProcessor,1,
org.apache.olingo.server.api.processor.ActionEntityProcessor,2,
org.apache.olingo.server.api.processor.ActionEntityCollectionProcessor,2,
org.apache.olingo.server.api.processor.ActionVoidProcessor,1,
org.apache.olingo.server.api.processor.ReferenceProcessor,1,
org.apache.olingo.server.api.processor.ReferenceCollectionProcessor,1,
org.apache.olingo.server.api.processor.ErrorProcessor,1,
org.apache.olingo.server.api.uri.UriResourceNavigation,4,
org.apache.olingo.server.api.uri.UriResourceProperty,4,
org.apache.olingo.server.api.uri.UriInfoResource,9,
org.apache.olingo.server.api.uri.UriResourceComplexProperty,3,
org.apache.olingo.server.api.uri.queryoption.SelectItem,14,
org.apache.olingo.server.api.uri.UriResourceAction,1,
org.apache.olingo.server.api.uri.UriResourceFunction,1,
org.apache.olingo.server.api.uri.queryoption.SelectOption,1,
org.apache.olingo.server.api.uri.queryoption.ExpandItem,14,
org.apache.olingo.server.api.uri.queryoption.ExpandOption,1,
org.apache.olingo.server.api.uri.queryoption.CountOption,13,
org.apache.olingo.server.api.uri.queryoption.LevelsExpandOption,8,
java.util.logging.Logger,2,
org.apache.hadoop.yarn.api.records.ApplicationReport,7,
org.apache.hadoop.yarn.api.records.ApplicationId,4,
java.net.HttpURLConnection,2,
org.apache.hadoop.fs.Path,4,
org.apache.hadoop.fs.FileSystem,4,
org.apache.hadoop.fs.FileStatus,1,
org.apache.curator.framework.recipes.locks.InterProcessReadWriteLock,1,
org.apache.curator.framework.recipes.locks.InterProcessMutex,1,
javax.servlet.ServletRequest,3,
javax.servlet.ServletResponse,2,
java.lang.Process,1,
java.util.concurrent.Callable,7,
org.apache.hadoop.yarn.client.api.YarnClient,1,
java.sql.Statement,3,
java.sql.ResultSet,3,
java.sql.DatabaseMetaData,4,
org.apache.hadoop.hdfs.protocol.SystemErasureCodingPolicies.ReplicationPolicy,1,
org.apache.commons.cli.CommandLine,1,
java.sql.Connection,5,
javax.sql.DataSource,2,
java.sql.PreparedStatement,1,
java.sql.CallableStatement,1,
org.kurento.client.WebRtcEndpoint,1,
org.kurento.client.RecorderEndpoint,1,
org.kurento.client.PlayerEndpoint,1,
org.apache.wicket.injection.Injector,1,
org.kurento.client.MediaPipeline,2,
