Project Name,commits,contributors,releases,.java Files,LOC,test Files,test LOC,'Mock' imports,Mocking frameworks,No Import Mock File
creadur-rat,1210,23,18,172,9774,61,4250,2,1,7
qpid,14182,51,28,118,14015,15,2146,0,0,0
reef,3875,94,24,2233,95431,423,22183,6,1,3
river-container,36,2,0,143,10545,32,1668,0,0,0
roller,4708,29,22,612,54143,69,6596,0,0,0
sandesha,884,20,8,227,27366,57,5372,0,0,0
santuario-xml-security-java,1267,9,72,595,77157,213,38116,0,0,1
servicemix,407,21,51,129,3702,14,620,1,1,1
shindig,4786,42,27,1019,105430,362,52150,109,2,2
shiro,2238,83,35,738,36729,164,9474,49,3,0
