Project Name,commits,contributors,releases,.java Files,LOC,test Files,test LOC,'Mock' imports,Mocking frameworks,No Import Mock File
creadur-rat,1099,21,18,172,9775,61,4250,2,1,0
juddi-scout,531,10,16,179,18818,31,3968,0,0,0
qpid,14182,51,28,118,14015,15,2146,0,0,0
reef,3875,94,22,2233,95431,423,22183,6,1,0
roller,4682,28,55,612,54143,69,6587,0,0,0
sandesha,884,20,8,227,27366,57,5372,0,0,0
santuario-xml-security-java,1253,9,72,595,77157,213,38116,0,0,0
servicemix,407,21,51,129,3702,14,620,1,1,0
shindig,4786,42,27,1019,105430,362,52150,109,2,1
shiro,2203,77,34,738,36727,164,9478,49,3,0
