Project Name,commits,contributors,releases,.java Files,LOC,test Files,test LOC,'Mock' imports,Mocking frameworks,No Import Mock File
felix-atomos,337,7,1,188,12800,61,3506,0,0,0
felix-dev,16219,90,1118,4846,492615,2053,180419,154,2,1
