Project Name,File Path,Mocking Framework,Imported Mock Line
felix-dev,felix-dev\dependencymanager\org.apache.felix.dependencymanager\test\org\apache\felix\dm\tracker\TrackedTest.java,mockito,static org.mockito.Mockito.when
felix-dev,felix-dev\deploymentadmin\deploymentadmin\src\test\java\org\apache\felix\deploymentadmin\DeploymentAdminConfigTest.java,mockito,org.mockito.Matchers
felix-dev,felix-dev\deploymentadmin\deploymentadmin\src\test\java\org\apache\felix\deploymentadmin\DeploymentAdminConfigTest.java,mockito,org.mockito.Mockito
felix-dev,felix-dev\deploymentadmin\deploymentadmin\src\test\java\org\apache\felix\deploymentadmin\DeploymentAdminConfigTest.java,mockito,org.mockito.invocation.InvocationOnMock
felix-dev,felix-dev\deploymentadmin\deploymentadmin\src\test\java\org\apache\felix\deploymentadmin\DeploymentAdminConfigTest.java,mockito,org.mockito.stubbing.Answer
felix-dev,felix-dev\deviceaccess\src\test\java\org\apache\felix\das\DeviceManagerTest.java,mockito,org.mockito.Mock
felix-dev,felix-dev\deviceaccess\src\test\java\org\apache\felix\das\DeviceManagerTest.java,mockito,org.mockito.Mockito
felix-dev,felix-dev\deviceaccess\src\test\java\org\apache\felix\das\DeviceManagerTest.java,mockito,org.mockito.MockitoAnnotations
felix-dev,felix-dev\deviceaccess\src\test\java\org\apache\felix\das\DeviceManagerTest.java,mockito,org.mockito.invocation.InvocationOnMock
felix-dev,felix-dev\deviceaccess\src\test\java\org\apache\felix\das\DeviceManagerTest.java,mockito,org.mockito.stubbing.Answer
felix-dev,felix-dev\deviceaccess\src\test\java\org\apache\felix\das\DriverAttributesTest.java,mockito,org.mockito.Mock
felix-dev,felix-dev\deviceaccess\src\test\java\org\apache\felix\das\DriverAttributesTest.java,mockito,org.mockito.Mockito
felix-dev,felix-dev\deviceaccess\src\test\java\org\apache\felix\das\DriverAttributesTest.java,mockito,org.mockito.MockitoAnnotations
felix-dev,felix-dev\deviceaccess\src\test\java\org\apache\felix\das\OSGiMock.java,mockito,org.mockito.Mock
felix-dev,felix-dev\deviceaccess\src\test\java\org\apache\felix\das\OSGiMock.java,mockito,org.mockito.Mockito
felix-dev,felix-dev\deviceaccess\src\test\java\org\apache\felix\das\OSGiMock.java,mockito,org.mockito.MockitoAnnotations
felix-dev,felix-dev\deviceaccess\src\test\java\org\apache\felix\das\OSGiMock.java,mockito,org.mockito.invocation.InvocationOnMock
felix-dev,felix-dev\deviceaccess\src\test\java\org\apache\felix\das\OSGiMock.java,mockito,org.mockito.stubbing.Answer
felix-dev,felix-dev\deviceaccess\src\test\java\org\apache\felix\das\util\DriverAnalyzerTest.java,mockito,org.mockito.Mock
felix-dev,felix-dev\deviceaccess\src\test\java\org\apache\felix\das\util\DriverAnalyzerTest.java,mockito,org.mockito.Mockito
felix-dev,felix-dev\deviceaccess\src\test\java\org\apache\felix\das\util\DriverAnalyzerTest.java,mockito,org.mockito.MockitoAnnotations
felix-dev,felix-dev\deviceaccess\src\test\java\org\apache\felix\das\util\DriverLoaderTest.java,mockito,org.mockito.Mock
felix-dev,felix-dev\deviceaccess\src\test\java\org\apache\felix\das\util\DriverLoaderTest.java,mockito,org.mockito.Mockito
felix-dev,felix-dev\deviceaccess\src\test\java\org\apache\felix\das\util\DriverLoaderTest.java,mockito,org.mockito.MockitoAnnotations
felix-dev,felix-dev\deviceaccess\src\test\java\org\apache\felix\das\util\DriverMatcherTest.java,mockito,org.mockito.Mock
felix-dev,felix-dev\deviceaccess\src\test\java\org\apache\felix\das\util\DriverMatcherTest.java,mockito,org.mockito.Mockito
felix-dev,felix-dev\deviceaccess\src\test\java\org\apache\felix\das\util\DriverMatcherTest.java,mockito,org.mockito.MockitoAnnotations
felix-dev,felix-dev\deviceaccess\src\test\java\org\apache\felix\das\util\DriverMatcherTest.java,mockito,org.mockito.invocation.InvocationOnMock
felix-dev,felix-dev\deviceaccess\src\test\java\org\apache\felix\das\util\DriverMatcherTest.java,mockito,org.mockito.stubbing.Answer
felix-dev,felix-dev\deviceaccess\src\test\java\org\apache\felix\das\util\UtilTest.java,mockito,org.mockito.Mock
felix-dev,felix-dev\deviceaccess\src\test\java\org\apache\felix\das\util\UtilTest.java,mockito,org.mockito.Mockito
felix-dev,felix-dev\deviceaccess\src\test\java\org\apache\felix\das\util\UtilTest.java,mockito,org.mockito.MockitoAnnotations
felix-dev,felix-dev\deviceaccess\src\test\java\org\apache\felix\das\util\UtilTest.java,mockito,org.mockito.invocation.InvocationOnMock
felix-dev,felix-dev\deviceaccess\src\test\java\org\apache\felix\das\util\UtilTest.java,mockito,org.mockito.stubbing.Answer
felix-dev,felix-dev\fileinstall\src\test\java\org\apache\felix\fileinstall\internal\ConfigInstallerTest.java,easymock,org.easymock.Capture
felix-dev,felix-dev\fileinstall\src\test\java\org\apache\felix\fileinstall\internal\ConfigInstallerTest.java,easymock,org.easymock.EasyMock
felix-dev,felix-dev\fileinstall\src\test\java\org\apache\felix\fileinstall\internal\ConfigInstallerTest.java,easymock,org.easymock.IAnswer
felix-dev,felix-dev\fileinstall\src\test\java\org\apache\felix\fileinstall\internal\ConfigInstallerTest.java,easymock,org.easymock.IArgumentMatcher
felix-dev,felix-dev\fileinstall\src\test\java\org\apache\felix\fileinstall\internal\DirectoryWatcherTest.java,easymock,org.easymock.EasyMock
felix-dev,felix-dev\fileinstall\src\test\java\org\apache\felix\fileinstall\internal\DirectoryWatcherTest.java,easymock,org.easymock.IMocksControl
felix-dev,felix-dev\framework\src\test\java\org\apache\felix\framework\BundleWiringImplTest.java,mockito,org.mockito.Mockito
felix-dev,felix-dev\framework\src\test\java\org\apache\felix\framework\BundleWiringImplTest.java,mockito,org.mockito.invocation.InvocationOnMock
