method, origin, count
mock,org.mockito.Mockito,645
when,org.mockito.Mockito,372
thenReturn,org.mockito.stubbing.OngoingStubbing<java.net.URL>,193
any,org.mockito.ArgumentMatchers,42
verify,org.mockito.Mockito,82
times,org.mockito.Mockito,22
spy,org.mockito.Mockito,24
never,org.mockito.Mockito,12
reset,org.mockito.Mockito,6
doReturn,org.mockito.Mockito,3
eq,org.mockito.ArgumentMatchers,6
doAnswer,org.mockito.Mockito,21
getArguments,org.mockito.invocation.InvocationOnMock,15
anyString,org.mockito.ArgumentMatchers,15
