Mock Method,# of Invocations,% of Framework Invocations
finishedSpans,9,25.71
context,3,8.57
fields,1,2.86
getBaggageItem,1,2.86
spanId,1,2.86
tags,9,25.71
operationName,4,11.43
traceId,2,5.71
reset,2,5.71
logEntries,2,5.71
parentId,1,2.86
