Project Name,commits,contributors,releases,.java Files,LOC,test Files,test LOC,'Mock' imports,Mocking frameworks,No Import Mock File
ant-antlibs-compress,322,5,13,104,5129,1,20,0,0,0
commons-vfs,3247,55,37,577,35839,192,12706,1,1,0
commons-weaver,536,11,16,115,5803,27,1341,0,0,0
continuum,4870,30,36,711,96083,192,24529,27,1,0
crunch,1093,56,23,730,55388,139,9280,23,1,0
ctakes,2502,32,32,1580,164988,82,5603,0,0,0
curator,2739,132,110,691,59989,174,28951,8,1,0
cxf,16631,227,169,7528,694599,3537,313613,202,6,1
daffodil,3631,61,58,48,1925,38,1835,0,0,0
datafu,577,42,19,261,25731,74,11101,0,0,0
deltaspike,2466,72,37,1832,84628,1051,41248,2,1,2
derby,8269,37,0,2864,693496,1033,335457,0,0,0
directmemory,642,10,2,169,12870,62,5260,1,1,0
directory-ldap-api,5897,24,73,1503,194727,365,78365,1,1,0
directory-server,9842,40,51,1757,219495,473,103192,0,0,0
directory-studio,5735,15,39,1851,216161,164,20823,0,0,0
drill,4130,214,28,4485,584995,1001,194783,64,4,0
