project name, # of total classes created, # of inside classes mocked
empire-db,460,0,
falcon,557,12,
flink,7627,224,
flume,461,21,
fluo,57,0,
fluo,206,0,
giraph,1312,14,
groovy,1431,0,
fop,1631,101,
