project name, # of total classes created, # of inside classes mocked
commons-vfs,385,0,
commons-weaver,88,0,
continuum,519,0,
crunch,591,20,
ctakes,1498,0,
curator,517,4,
cxf,3991,163,
deltaspike,781,2,
derby,1831,0,
directmemory,107,0,
directory-ldap-api,1138,0,
directory-server,1284,0,
directory-studio,1687,0,
