Project Name,commits,contributors,releases,.java Files,LOC,test Files,test LOC,'Mock' imports,Mocking frameworks,No Import Mock File
ant-antlibs-vss,15,5,1,19,993,1,34,0,0,0
mina-vysper,773,12,2,775,47029,264,18072,53,2,1
tomcat,23949,110,314,2560,356088,674,88619,11,1,0
tomee,14036,149,48,6409,538352,2410,166568,9,4,4
turbine-core,2090,31,35,377,29590,92,6260,20,1,0
tuscany-sca-2.x,16253,35,33,4064,219818,2035,78429,1,1,0
uima-uimaj,7383,22,70,1865,226928,370,51756,0,0,0
velocity-engine,4390,22,53,396,33922,174,12672,0,0,0
vxquery,1156,15,8,756,49385,50,3442,0,0,0
whirr,569,16,13,275,17976,106,7207,11,1,0
