Project Name,commits,contributors,releases,.java Files,LOC,test Files,test LOC,'Mock' imports,Mocking frameworks,No Import Mock File
mina-sshd,2485,69,34,1310,128164,315,38273,36,1,0
sis,7715,20,5,2750,309659,736,77641,0,0,21
skywalking,6937,450,51,1540,81959,271,19878,61,2,27
solr,35740,358,420,4121,676763,1505,355815,48,5,32
spark,32506,2488,143,1067,85204,273,32296,23,1,0
sqoop,969,38,29,719,84888,368,42514,28,1,1
stanbol,3404,25,24,1661,160754,259,30339,0,0,20
storm,10478,502,48,2434,300630,466,49043,97,3,22
stratos,8951,86,47,1438,119250,140,17213,12,3,2
struts,6218,109,130,2070,185234,686,72953,188,6,10
