Project Name,commits,contributors,releases,.java Files,LOC,test Files,test LOC,'Mock' imports,Mocking frameworks,No Import Mock File
mina-sshd,2416,67,33,1295,126269,309,37344,36,1,0
sis,7445,20,5,2677,300193,721,75577,0,0,0
skywalking,6798,440,49,1648,85879,461,28899,57,2,0
solr,35350,348,420,4017,601075,1468,291150,45,5,5
spark,31488,2419,137,1039,82245,263,31415,23,1,0
sqoop,969,38,29,719,84888,368,42514,28,1,0
stanbol,3404,25,24,1661,160754,259,30339,0,0,0
storm,10458,497,45,2434,300599,466,49043,97,3,6
stratos,8951,86,47,1438,119250,140,17213,12,3,7
struts,6113,103,122,2064,170231,684,59174,188,6,10
