Project Name,commits,contributors,releases,.java Files,LOC,test Files,test LOC,'Mock' imports,Mocking frameworks,No Import Mock File
directory-kerby,1805,33,8,1043,64261,164,10727,1,1,0
jena,9739,102,65,5991,572954,1715,181769,4,1,3
jmeter,17687,90,49,1393,147379,353,37550,0,0,0
jspwiki,9103,27,90,737,58599,170,17505,12,2,0
karaf,8887,208,98,1594,126859,313,23436,40,1,6
knox,2585,75,79,1526,136680,473,69690,146,1,12
lens,2449,66,13,886,102920,228,39868,0,0,0
logging-log4j2,11984,160,72,2386,185626,1000,75325,41,3,6
